Gender,azure2,google1,aws,azure1,google2,whisper,Value Counts
Female,43.6437704918033,55.777868852459,52.2759016393443,43.6437704918033,55.8277049180328,43.6437704918033,61
Male,38.2412691466083,49.869102844639,53.9611378555799,38.2412691466083,49.8731291028446,38.2412691466083,457
Unknown,48.8102197802198,60.2973626373626,64.8052747252747,48.8102197802198,60.2416483516484,48.8102197802198,91